source_pdf,source_date,list_kind,pages,arbitration_hits
raw_appellate_cl/pdfs/2025-01-14_supplementary_1_032c2b24a3.pdf,2025-01-14,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-01-14_supplementary_1_9f0b2f3593.pdf,2025-01-14,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-01-14_supplementary_1_d4c1f168e5.pdf,2025-01-14,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-05_supplementary_1_4bbacdd313.pdf,2025-12-05,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-05_supplementary_1_e69e9acabf.pdf,2025-12-05,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-08_daily_d4babb2d27.pdf,2025-12-08,daily,511,388
raw_appellate_cl/pdfs/2025-12-09_daily_2a228d95ea.pdf,2025-12-09,daily,543,397
raw_appellate_cl/pdfs/2025-12-09_supplementary_1_712827517b.pdf,2025-12-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-09_supplementary_1_77d3b81407.pdf,2025-12-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-09_supplementary_1_f595d72054.pdf,2025-12-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-10_daily_1a59823330.pdf,2025-12-10,daily,518,405
raw_appellate_cl/pdfs/2025-12-10_supplementary_1_2fc04d995b.pdf,2025-12-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-10_supplementary_1_43aeb25082.pdf,2025-12-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-10_supplementary_1_ac0510b84a.pdf,2025-12-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-11_daily_ac8dcf3530.pdf,2025-12-11,daily,549,425
raw_appellate_cl/pdfs/2025-12-11_supplementary_1_211d953716.pdf,2025-12-11,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-12_daily_3381a38d0c.pdf,2025-12-12,daily,533,314
raw_appellate_cl/pdfs/2025-12-12_supplementary_1_21e3d01382.pdf,2025-12-12,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-12_supplementary_1_7c562f1b49.pdf,2025-12-12,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-12_supplementary_1_bf48bca9ad.pdf,2025-12-12,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-12_supplementary_1_c640d5b223.pdf,2025-12-12,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-15_daily_14d3731334.pdf,2025-12-15,daily,542,463
raw_appellate_cl/pdfs/2025-12-15_supplementary_1_0e20d81ec3.pdf,2025-12-15,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-16_daily_6ec3ddb4dd.pdf,2025-12-16,daily,516,367
raw_appellate_cl/pdfs/2025-12-16_supplementary_1_d876c4ad52.pdf,2025-12-16,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-17_daily_e945407b9b.pdf,2025-12-17,daily,490,359
raw_appellate_cl/pdfs/2025-12-17_supplementary_1_35c1661896.pdf,2025-12-17,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-18_daily_00eb88751f.pdf,2025-12-18,daily,463,361
raw_appellate_cl/pdfs/2025-12-18_supplementary_1_5724057713.pdf,2025-12-18,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-18_supplementary_1_674d337fcc.pdf,2025-12-18,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-18_supplementary_1_7856fb81c1.pdf,2025-12-18,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-18_supplementary_2_160c907e2c.pdf,2025-12-18,supplementary_2,1,0
raw_appellate_cl/pdfs/2025-12-19_daily_cdc7d3244e.pdf,2025-12-19,daily,502,293
raw_appellate_cl/pdfs/2025-12-19_supplementary_1_4d394b8920.pdf,2025-12-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-19_supplementary_1_6f394faf22.pdf,2025-12-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-19_supplementary_1_82f0a954db.pdf,2025-12-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-19_supplementary_1_8a2c6f0d85.pdf,2025-12-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-19_supplementary_1_bc2c554d0d.pdf,2025-12-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-19_supplementary_1_bcf949ae47.pdf,2025-12-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-19_supplementary_2_273679577c.pdf,2025-12-19,supplementary_2,1,0
raw_appellate_cl/pdfs/2025-12-22_daily_da0cb97fdc.pdf,2025-12-22,daily,518,351
raw_appellate_cl/pdfs/2025-12-22_supplementary_1_0df37ab047.pdf,2025-12-22,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-22_supplementary_1_31f1abf0eb.pdf,2025-12-22,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-22_supplementary_1_379b8ef6e2.pdf,2025-12-22,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-22_supplementary_1_38b9c1c216.pdf,2025-12-22,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-22_supplementary_1_8ff2f6c530.pdf,2025-12-22,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-22_supplementary_1_e4f2ad8d0a.pdf,2025-12-22,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-22_supplementary_2_3297236b3d.pdf,2025-12-22,supplementary_2,1,0
raw_appellate_cl/pdfs/2025-12-23_supplementary_1_433a7a8fa6.pdf,2025-12-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-23_supplementary_1_4d28cad338.pdf,2025-12-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-23_supplementary_1_6253e78f88.pdf,2025-12-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-23_supplementary_1_b56003cc6e.pdf,2025-12-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-23_supplementary_1_cd066f41c4.pdf,2025-12-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_daily_2d5ecbc1a2.pdf,2025-12-24,daily,363,354
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_408a0e2fec.pdf,2025-12-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_51beb44f7d.pdf,2025-12-24,supplementary_1,2,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_7b73e408e6.pdf,2025-12-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_cdefde827d.pdf,2025-12-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_fb689b89a1.pdf,2025-12-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_fd2e28a85d.pdf,2025-12-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_2_cc6e7a3d36.pdf,2025-12-24,supplementary_2,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_3_f62aca2837.pdf,2025-12-24,supplementary_3,1,0
raw_appellate_cl/pdfs/2025-12-29_daily_614242bad2.pdf,2025-12-29,daily,9,0
raw_appellate_cl/pdfs/2025-12-29_supplementary_1_7210454338.pdf,2025-12-29,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-29_supplementary_1_d6ff68eea0.pdf,2025-12-29,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-29_supplementary_1_f32a46b16d.pdf,2025-12-29,supplementary_1,1,0
